Date,Time,Address,Players,Max Players,Version
2021-02-10,01:03:05.383460,51.79.37.206:2303,92,99,2.00.146773
2021-02-10,01:08:07.560874,51.79.37.206:2303,91,99,2.00.146773
2021-02-10,01:13:20.165797,51.79.37.206:2303,96,99,2.00.146773
2021-02-10,01:18:22.202837,51.79.37.206:2303,99,99,2.00.146773
2021-02-10,01:23:24.190940,51.79.37.206:2303,99,99,2.00.146773
2021-02-10,01:28:25.931018,51.79.37.206:2303,98,99,2.00.146773
2021-02-10,08:41:44.989612,51.79.37.206:2303,92,99,2.00.146773
2021-02-10,08:46:47.191383,51.79.37.206:2303,87,99,2.00.146773
2021-02-10,08:51:48.963906,51.79.37.206:2303,71,99,2.00.146773
2021-02-10,08:56:50.252557,51.79.37.206:2303,71,99,2.00.146773
